EpisodeID,ColorName
S01E01,Alizarin Crimson
S01E01,Bright Red
S01E01,Cadmium Yellow
S01E01,Phthalo Green
S01E01,Prussian Blue
S01E01,Sap Green
S01E01,Titanium White
S01E01,Van Dyke Brown
S01E02,Alizarin Crimson
S01E02,Bright Red
S01E02,Cadmium Yellow
S01E02,Phthalo Green
S01E02,Prussian Blue
S01E02,Sap Green
S01E02,Titanium White
S01E02,Van Dyke Brown
S01E03,Alizarin Crimson
S01E03,Black Gesso
S01E03,Bright Red
S01E03,Cadmium Yellow
S01E03,Phthalo Green
S01E03,Prussian Blue
S01E03,Sap Green
S01E03,Titanium White
S01E03,Van Dyke Brown
S01E04,Prussian Blue
S01E04,Titanium White
S01E04,Van Dyke Brown
S01E05,Alizarin Crimson
S01E05,Bright Red
S01E05,Cadmium Yellow
S01E05,Phthalo Green
S01E05,Prussian Blue
S01E05,Sap Green
S01E05,Titanium White
S01E05,Van Dyke Brown
S01E06,Black Gesso
S01E06,Prussian Blue
S01E06,Titanium White
S01E06,Van Dyke Brown
S01E07,Alizarin Crimson
S01E07,Bright Red
S01E07,Cadmium Yellow
S01E07,Phthalo Green
S01E07,Prussian Blue
S01E07,Sap Green
S01E07,Titanium White
S01E07,Van Dyke Brown
S01E08,Alizarin Crimson
S01E08,Bright Red
S01E08,Cadmium Yellow
S01E08,Phthalo Green
S01E08,Prussian Blue
S01E08,Sap Green
S01E08,Titanium White
S01E08,Van Dyke Brown
S01E09,Alizarin Crimson
S01E09,Bright Red
S01E09,Cadmium Yellow
S01E09,Phthalo Green
S01E09,Prussian Blue
S01E09,Sap Green
S01E09,Titanium White
S01E09,Van Dyke Brown
S01E10,Alizarin Crimson
S01E10,Bright Red
S01E10,Cadmium Yellow
S01E10,Phthalo Green
S01E10,Prussian Blue
S01E10,Sap Green
S01E10,Titanium White
S01E10,Van Dyke Brown
S01E11,Alizarin Crimson
S01E11,Bright Red
S01E11,Cadmium Yellow
S01E11,Phthalo Green
S01E11,Prussian Blue
S01E11,Sap Green
S01E11,Titanium White
S01E11,Van Dyke Brown
S01E12,Alizarin Crimson
S01E12,Prussian Blue
S01E12,Titanium White
S01E12,Van Dyke Brown
S01E13,Alizarin Crimson
S01E13,Bright Red
S01E13,Cadmium Yellow
S01E13,Phthalo Green
S01E13,Prussian Blue
S01E13,Sap Green
S01E13,Titanium White
S01E13,Van Dyke Brown
S02E01,Alizarin Crimson
S02E01,Bright Red
S02E01,Burnt Umber
S02E01,Cadmium Yellow
S02E01,Indian Yellow
S02E01,Phthalo Blue
S02E01,Phthalo Green
S02E01,Prussian Blue
S02E01,Sap Green
S02E01,Titanium White
S02E01,Van Dyke Brown
S02E01,Yellow Ochre
S02E02,Alizarin Crimson
S02E02,Bright Red
S02E02,Burnt Umber
S02E02,Cadmium Yellow
S02E02,Indian Yellow
S02E02,Phthalo Blue
S02E02,Phthalo Green
S02E02,Prussian Blue
S02E02,Sap Green
S02E02,Titanium White
S02E02,Van Dyke Brown
S02E02,Yellow Ochre
S02E03,Alizarin Crimson
S02E03,Black Gesso
S02E03,Bright Red
S02E03,Burnt Umber
S02E03,Cadmium Yellow
S02E03,Indian Yellow
S02E03,Phthalo Blue
S02E03,Phthalo Green
S02E03,Prussian Blue
S02E03,Sap Green
S02E03,Titanium White
S02E03,Van Dyke Brown
S02E03,Yellow Ochre
S02E04,Prussian Blue
S02E04,Titanium White
S02E04,Van Dyke Brown
S02E05,Alizarin Crimson
S02E05,Bright Red
S02E05,Burnt Umber
S02E05,Cadmium Yellow
S02E05,Phthalo Blue
S02E05,Phthalo Green
S02E05,Prussian Blue
S02E05,Sap Green
S02E05,Titanium White
S02E05,Van Dyke Brown
S02E05,Yellow Ochre
S02E06,Alizarin Crimson
S02E06,Bright Red
S02E06,Burnt Umber
S02E06,Cadmium Yellow
S02E06,Phthalo Blue
S02E06,Phthalo Green
S02E06,Prussian Blue
S02E06,Sap Green
S02E06,Titanium White
S02E06,Van Dyke Brown
S02E06,Yellow Ochre
S02E07,Alizarin Crimson
S02E07,Bright Red
S02E07,Burnt Umber
S02E07,Cadmium Yellow
S02E07,Phthalo Blue
S02E07,Phthalo Green
S02E07,Prussian Blue
S02E07,Sap Green
S02E07,Titanium White
S02E07,Van Dyke Brown
S02E07,Yellow Ochre
S02E08,Alizarin Crimson
S02E08,Bright Red
S02E08,Burnt Umber
S02E08,Cadmium Yellow
S02E08,Indian Yellow
S02E08,Phthalo Blue
S02E08,Phthalo Green
S02E08,Prussian Blue
S02E08,Sap Green
S02E08,Titanium White
S02E08,Van Dyke Brown
S02E08,Yellow Ochre
S02E09,Alizarin Crimson
S02E09,Black Gesso
S02E09,Bright Red
S02E09,Cadmium Yellow
S02E09,Indian Yellow
S02E09,Phthalo Blue
S02E09,Phthalo Green
S02E09,Prussian Blue
S02E09,Sap Green
S02E09,Titanium White
S02E09,Van Dyke Brown
S02E09,Yellow Ochre
S02E10,Alizarin Crimson
S02E10,Bright Red
S02E10,Burnt Umber
S02E10,Cadmium Yellow
S02E10,Indian Yellow
S02E10,Phthalo Blue
S02E10,Phthalo Green
S02E10,Prussian Blue
S02E10,Sap Green
S02E10,Titanium White
S02E10,Van Dyke Brown
S02E10,Yellow Ochre
S02E11,Alizarin Crimson
S02E11,Black Gesso
S02E11,Burnt Umber
S02E11,Cadmium Yellow
S02E11,Indian Yellow
S02E11,Phthalo Blue
S02E11,Phthalo Green
S02E11,Prussian Blue
S02E11,Sap Green
S02E11,Titanium White
S02E11,Van Dyke Brown
S02E11,Yellow Ochre
S02E12,Alizarin Crimson
S02E12,Bright Red
S02E12,Burnt Umber
S02E12,Cadmium Yellow
S02E12,Indian Yellow
S02E12,Phthalo Blue
S02E12,Phthalo Green
S02E12,Prussian Blue
S02E12,Sap Green
S02E12,Titanium White
S02E12,Van Dyke Brown
S02E12,Yellow Ochre
S02E13,Alizarin Crimson
S02E13,Bright Red
S02E13,Burnt Umber
S02E13,Cadmium Yellow
S02E13,Indian Yellow
S02E13,Phthalo Blue
S02E13,Phthalo Green
S02E13,Prussian Blue
S02E13,Sap Green
S02E13,Titanium White
S02E13,Van Dyke Brown
S02E13,Yellow Ochre
S03E01,Alizarin Crimson
S03E01,Bright Red
S03E01,Burnt Umber
S03E01,Cadmium Yellow
S03E01,Indian Yellow
S03E01,Phthalo Blue
S03E01,Phthalo Green
S03E01,Prussian Blue
S03E01,Sap Green
S03E01,Titanium White
S03E01,Van Dyke Brown
S03E01,Yellow Ochre
S03E02,Alizarin Crimson
S03E02,Bright Red
S03E02,Burnt Umber
S03E02,Cadmium Yellow
S03E02,Indian Yellow
S03E02,Phthalo Blue
S03E02,Phthalo Green
S03E02,Prussian Blue
S03E02,Sap Green
S03E02,Titanium White
S03E02,Van Dyke Brown
S03E02,Yellow Ochre
S03E03,Alizarin Crimson
S03E03,Bright Red
S03E03,Burnt Umber
S03E03,Cadmium Yellow
S03E03,Indian Yellow
S03E03,Phthalo Blue
S03E03,Phthalo Green
S03E03,Prussian Blue
S03E03,Sap Green
S03E03,Titanium White
S03E03,Van Dyke Brown
S03E03,Yellow Ochre
S03E04,Alizarin Crimson
S03E04,Bright Red
S03E04,Cadmium Yellow
S03E04,Liquid Black
S03E04,Phthalo Green
S03E04,Titanium White
S03E04,Van Dyke Brown
S03E05,Alizarin Crimson
S03E05,Burnt Umber
S03E05,Cadmium Yellow
S03E05,Sap Green
S03E05,Titanium White
S03E05,Van Dyke Brown
S03E05,Yellow Ochre
S03E06,Alizarin Crimson
S03E06,Bright Red
S03E06,Burnt Umber
S03E06,Cadmium Yellow
S03E06,Midnight Black
S03E06,Prussian Blue
S03E06,Sap Green
S03E06,Titanium White
S03E06,Van Dyke Brown
S03E06,Yellow Ochre
S03E07,Alizarin Crimson
S03E07,Burnt Umber
S03E07,Cadmium Yellow
S03E07,Phthalo Blue
S03E07,Phthalo Green
S03E07,Prussian Blue
S03E07,Sap Green
S03E07,Titanium White
S03E07,Van Dyke Brown
S03E07,Yellow Ochre
S03E08,Alizarin Crimson
S03E08,Black Gesso
S03E08,Burnt Umber
S03E08,Cadmium Yellow
S03E08,Phthalo Green
S03E08,Sap Green
S03E08,Titanium White
S03E08,Van Dyke Brown
S03E08,Yellow Ochre
S03E09,Alizarin Crimson
S03E09,Bright Red
S03E09,Burnt Umber
S03E09,Cadmium Yellow
S03E09,Phthalo Blue
S03E09,Prussian Blue
S03E09,Sap Green
S03E09,Titanium White
S03E09,Van Dyke Brown
S03E09,Yellow Ochre
S03E10,Alizarin Crimson
S03E10,Black Gesso
S03E10,Bright Red
S03E10,Burnt Umber
